Date,JABAX
1993-11-11,3.389764349
1993-11-12,3.389764349
1993-11-15,3.39254772
1993-11-16,3.400895088
1993-11-17,3.398111717
1993-11-18,3.395328346
1993-11-19,3.395328346
1993-11-22,3.378630865
1993-11-23,3.384197607
1993-11-24,3.39254772
1993-11-26,3.39254772
1993-11-29,3.389764349
1993-11-30,3.386980978
1993-12-01,3.398111717
1993-12-02,3.39254772
1993-12-03,3.403678459
1993-12-06,3.42037594
1993-12-07,3.414811943
1993-12-08,3.412028572
1993-12-09,3.412028572
1993-12-10,3.398111717
1993-12-13,3.395328346
1993-12-14,3.384197607
1993-12-15,3.381414236
1993-12-16,3.389764349
1993-12-17,3.40646183
1993-12-20,3.40646183
1993-12-21,3.400895088
1993-12-22,3.400895088
1993-12-23,3.409245201
1993-12-27,3.412028572
1993-12-28,3.417595314
1993-12-29,3.412028572
1993-12-30,3.434570034
1993-12-31,3.41496017
1994-01-03,3.412160329
1994-01-04,3.417762755
1994-01-05,3.417762755
1994-01-06,3.417762755
1994-01-07,3.420562596
1994-01-10,3.431770194
1994-01-11,3.44017246
1994-01-12,3.44017246
1994-01-13,3.428967608
1994-01-14,3.434570034
1994-01-17,3.426165022
1994-01-18,3.44017246
1994-01-19,3.43737262
1994-01-20,3.434570034
1994-01-21,3.434570034
1994-01-24,3.423365182
1994-01-25,3.428967608
1994-01-26,3.43737262
1994-01-27,3.448577472
1994-01-28,3.459782325
1994-01-31,3.468187337
1994-02-01,3.470989922
1994-02-02,3.479394934
1994-02-03,3.484997361
1994-02-04,3.454179899
1994-02-07,3.448577472
1994-02-08,3.448577472
1994-02-09,3.451380058
1994-02-10,3.434570034
1994-02-11,3.434570034
1994-02-14,3.43737262
1994-02-15,3.448577472
1994-02-16,3.465387496
1994-02-17,3.468187337
1994-02-18,3.465387496
1994-02-22,3.473789763
1994-02-23,3.484997361
1994-02-24,3.46258491
1994-02-25,3.459782325
1994-02-28,3.465387496
1994-03-01,3.442975046
1994-03-02,3.442975046
1994-03-03,3.442975046
1994-03-04,3.46258491
1994-03-07,3.470989922
1994-03-08,3.465387496
1994-03-09,3.476592349
1994-03-10,3.46258491
1994-03-11,3.470989922
1994-03-14,3.476592349
1994-03-15,3.473789763
1994-03-16,3.482194775
1994-03-17,3.487797201
