Date,TRBCX
1994-09-21,8.318519082
1994-09-22,8.311151887
1994-09-23,8.25957428
1994-09-26,8.289050303
1994-09-27,8.289050303
1994-09-28,8.34062791
1994-09-29,8.318519082
1994-09-30,8.325886277
1994-10-03,8.318519082
1994-10-04,8.215371111
1994-10-05,8.185895088
1994-10-06,8.171160699
1994-10-07,8.215371111
1994-10-10,8.266941475
1994-10-11,8.370096689
1994-10-12,8.392198273
1994-10-13,8.429041491
1994-10-14,8.451143075
1994-10-17,8.465884709
1994-10-18,8.443775881
1994-10-19,8.480619098
1994-10-20,8.443775881
1994-10-21,8.399572712
1994-10-24,8.347995105
1994-10-25,8.325886277
1994-10-26,8.34062791
1994-10-27,8.392198273
1994-10-28,8.517455072
1994-10-31,8.517455072
1994-11-01,8.473251904
1994-11-02,8.436408686
1994-11-03,8.45851027
1994-11-04,8.399572712
1994-11-07,8.414307102
1994-11-08,8.465884709
1994-11-09,8.451143075
1994-11-10,8.443775881
1994-11-11,8.406939907
1994-11-14,8.480619098
1994-11-15,8.480619098
1994-11-16,8.487986293
1994-11-17,8.429041491
1994-11-18,8.406939907
1994-11-21,8.325886277
1994-11-22,8.163793504
1994-11-23,8.156426309
1994-11-25,8.193262283
1994-11-28,8.237472696
1994-11-29,8.25957428
1994-11-30,8.230105501
1994-12-01,8.134317481
1994-12-02,8.207996673
1994-12-05,8.200629478
1994-12-06,8.185895088
1994-12-07,8.134317481
1994-12-08,8.016427877
1994-12-09,8.023802316
1994-12-12,8.06063829
1994-12-13,8.112215897
1994-12-14,8.200629478
1994-12-15,8.230105501
1994-12-16,8.281683108
1994-12-19,8.289050303
1994-12-20,8.281683108
1994-12-21,8.325886277
1994-12-22,8.318519082
1994-12-23,8.333253471
1994-12-27,8.3553623
1994-12-28,8.34062791
1994-12-29,8.34062791
1994-12-30,8.348139986
1995-01-03,8.303053044
1995-01-04,8.34062791
1995-01-05,8.34062791
1995-01-06,8.355652062
1995-01-09,8.370683457
1995-01-10,8.385707608
1995-01-11,8.385707608
1995-01-12,8.378195533
1995-01-13,8.453338021
1995-01-16,8.528473266
1995-01-17,8.543504661
1995-01-18,8.535992586
1995-01-19,8.490905644
1995-01-20,8.453338021
1995-01-23,8.445818702
1995-01-24,8.460850097
1995-01-25,8.460850097
1995-01-26,8.490905644
1995-01-27,8.551016737
1995-01-30,8.528473266
1995-01-31,8.558536057
1995-02-01,8.566048132
1995-02-02,8.61864715
