Date,PTTRX
6/20/1989,1.247036369
6/21/1989,1.244556289
6/22/1989,1.243316766
6/23/1989,1.249515417
6/26/1989,1.251994465
6/27/1989,1.258192084
6/28/1989,1.255713036
6/29/1989,1.259431608
6/30/1989,1.271083752
7/3/1989,1.272332564
7/5/1989,1.269835971
7/6/1989,1.272332564
7/7/1989,1.276079002
7/10/1989,1.277326783
7/11/1989,1.276079002
7/12/1989,1.276079002
7/13/1989,1.276079002
7/14/1989,1.273581377
7/17/1989,1.272332564
7/18/1989,1.268587159
7/19/1989,1.271083752
7/20/1989,1.27483019
7/21/1989,1.272332564
7/24/1989,1.272332564
7/25/1989,1.27483019
7/26/1989,1.27483019
7/27/1989,1.28107322
7/28/1989,1.283569813
7/31/1989,1.297992051
8/1/1989,1.304280493
8/2/1989,1.303022391
8/3/1989,1.297992051
8/4/1989,1.286672235
8/7/1989,1.284157065
8/8/1989,1.284157065
8/9/1989,1.282898964
8/10/1989,1.284157065
8/11/1989,1.27535242
8/14/1989,1.269063978
8/15/1989,1.269063978
8/16/1989,1.274094319
8/17/1989,1.270321047
8/18/1989,1.271579149
8/21/1989,1.270321047
8/22/1989,1.265290706
8/23/1989,1.267805877
8/24/1989,1.269063978
8/25/1989,1.269063978
8/28/1989,1.269063978
8/29/1989,1.266547776
8/30/1989,1.267805877
8/31/1989,1.275653787
9/1/1989,1.28198764
9/5/1989,1.280721282
9/6/1989,1.280721282
9/7/1989,1.28198764
9/8/1989,1.284521388
9/11/1989,1.284521388
9/12/1989,1.285788778
9/13/1989,1.28325503
9/14/1989,1.284521388
9/15/1989,1.285788778
9/18/1989,1.285788778
9/19/1989,1.285788778
9/20/1989,1.28325503
9/21/1989,1.279454924
9/22/1989,1.279454924
9/25/1989,1.279454924
9/26/1989,1.274387429
9/27/1989,1.273121071
9/28/1989,1.273121071
9/29/1989,1.282064014
10/2/1989,1.28333966
10/3/1989,1.285890954
10/4/1989,1.285890954
10/5/1989,1.289717893
10/6/1989,1.297372805
10/9/1989,1.297372805
10/10/1989,1.298648451
10/11/1989,1.296097158
10/12/1989,1.298648451
10/13/1989,1.311404917
10/16/1989,1.311404917
10/17/1989,1.299924098
10/18/1989,1.298648451
10/19/1989,1.302475391
10/20/1989,1.301199744
10/23/1989,1.303751037
10/24/1989,1.307577977
10/25/1989,1.308853624
10/26/1989,1.307577977
10/27/1989,1.302475391
10/30/1989,1.303751037
10/31/1989,1.312871498
11/1/1989,1.314156433
11/2/1989,1.316725271
11/3/1989,1.312871498
11/6/1989,1.307733821
11/7/1989,1.314156433
11/8/1989,1.315441368
11/9/1989,1.314156433
11/10/1989,1.315441368
11/13/1989,1.315441368
11/14/1989,1.316725271
11/15/1989,1.319295142
11/16/1989,1.319295142
11/17/1989,1.315441368
11/20/1989,1.316725271
11/21/1989,1.316725271
11/22/1989,1.319295142
11/24/1989,1.319295142
