Date,VIMSX
1999-09-10,7.148228384
1999-09-13,7.088610428
1999-09-14,7.095233953
1999-09-15,7.015732971
1999-09-16,6.949485264
1999-09-17,7.0621101
1999-09-20,7.002485919
1999-09-21,6.869984281
1999-09-22,6.896484609
1999-09-23,6.737488868
1999-09-24,6.697741489
1999-09-27,6.737488868
1999-09-28,6.671241161
1999-09-29,6.691117963
1999-09-30,6.664617636
1999-10-01,6.638117308
1999-10-04,6.75736567
1999-10-05,6.744112394
1999-10-06,6.830236902
1999-10-07,6.797113049
1999-10-08,6.750742144
1999-10-11,6.863360755
1999-10-12,6.744112394
1999-10-13,6.65799411
1999-10-14,6.671241161
1999-10-15,6.571869602
1999-10-18,6.479121567
1999-10-19,6.532115998
1999-10-20,6.618240506
1999-10-21,6.598369929
1999-10-22,6.71098854
1999-10-25,6.704365015
1999-10-26,6.644740834
1999-10-27,6.664617636
1999-10-28,6.85673723
1999-10-29,7.009109445
1999-11-01,7.015732971
1999-11-02,7.042233298
1999-11-03,7.108481005
1999-11-04,7.181358462
1999-11-05,7.254229694
1999-11-08,7.280730022
1999-11-09,7.254229694
1999-11-10,7.287353548
1999-11-11,7.280730022
1999-11-12,7.36022478
1999-11-15,7.413225435
1999-11-16,7.505973469
1999-11-17,7.519226746
1999-11-18,7.605345029
1999-11-19,7.585474452
1999-11-22,7.532473797
1999-11-23,7.380101582
1999-11-24,7.439725763
1999-11-26,7.479473142
1999-11-29,7.353601254
1999-11-30,7.380101582
1999-12-01,7.439725763
1999-12-02,7.532473797
1999-12-03,7.61197478
1999-12-06,7.552350599
1999-12-07,7.499349944
1999-12-08,7.426478711
1999-12-09,7.36022478
1999-12-10,7.380101582
1999-12-13,7.380101582
1999-12-14,7.240976418
1999-12-15,7.300600599
1999-12-16,7.373478056
1999-12-17,7.333724452
1999-12-20,7.353601254
1999-12-21,7.505973469
1999-12-22,7.592097978
1999-12-23,7.692135625
1999-12-27,7.636744525
1999-12-28,7.678284737
1999-12-29,7.775216051
1999-12-30,7.76829372
1999-12-31,7.823678595
2000-01-03,7.705980288
2000-01-04,7.429037235
2000-01-05,7.498272998
2000-01-06,7.470577448
2000-01-07,7.685207069
2000-01-10,7.885992027
2000-01-11,7.685207069
2000-01-12,7.615971306
2000-01-13,7.802911601
2000-01-14,7.892920584
2000-01-18,7.920609909
2000-01-19,7.95522779
2000-01-20,7.95522779
2000-01-21,7.969078678
2000-01-24,7.76829372
2000-01-25,7.789060714
2000-01-26,7.775216051
2000-01-27,7.733675838
2000-01-28,7.574431093
2000-01-31,7.602126643
2000-02-01,7.705980288
