Date,VGTSX
1997-06-25,6.426803198
1997-06-26,6.43805932
1997-06-27,6.393040363
1997-06-30,6.376158945
1997-07-01,6.398665658
1997-07-02,6.415552607
1997-07-03,6.49433993
1997-07-07,6.499965226
1997-07-08,6.488709103
1997-07-09,6.483083808
1997-07-10,6.477452981
1997-07-11,6.477452981
1997-07-14,6.49433993
1997-07-15,6.43805932
1997-07-16,6.511221348
1997-07-17,6.516846643
1997-07-18,6.449315442
1997-07-21,6.398665658
1997-07-22,6.43805932
1997-07-23,6.49433993
1997-07-24,6.471827686
1997-07-25,6.460571564
1997-07-28,6.449315442
1997-07-29,6.454946269
1997-07-30,6.466196859
1997-07-31,6.477452981
1997-08-01,6.404296485
1997-08-04,6.331134457
1997-08-05,6.291740795
1997-08-06,6.364902823
1997-08-07,6.381784241
1997-08-08,6.404296485
1997-08-11,6.319878335
1997-08-12,6.331134457
1997-08-13,6.31425304
1997-08-14,6.263603256
1997-08-15,6.252347134
1997-08-18,6.179185106
1997-08-19,6.190441228
1997-08-20,6.235465716
1997-08-21,6.246721839
1997-08-22,6.162303689
1997-08-25,6.139791445
1997-08-26,6.134166149
1997-08-27,6.094772488
1997-08-28,6.02161046
1997-08-29,5.920316424
1997-09-02,5.920316424
1997-09-03,6.015985164
1997-09-04,6.004729042
1997-09-05,6.07789107
1997-09-08,6.089147192
1997-09-09,6.122910027
1997-09-10,6.066634948
1997-09-11,5.965335381
1997-09-12,5.965335381
1997-09-15,6.004729042
1997-09-16,6.015985164
1997-09-17,6.049753531
1997-09-18,6.066634948
1997-09-19,6.07789107
1997-09-22,6.089147192
1997-09-23,6.100397783
1997-09-24,6.20169735
1997-09-25,6.207328177
1997-09-26,6.20169735
1997-09-29,6.212953472
1997-09-30,6.246721839
1997-10-01,6.263603256
1997-10-02,6.263603256
1997-10-03,6.2861155
1997-10-06,6.2861155
1997-10-07,6.280484673
1997-10-08,6.2861155
1997-10-09,6.218578768
1997-10-10,6.212953472
1997-10-13,6.224209594
1997-10-14,6.207328177
1997-10-15,6.196072055
1997-10-16,6.241091012
1997-10-17,6.156678393
1997-10-20,6.089147192
1997-10-21,6.111653905
1997-10-22,6.07789107
1997-10-23,5.875291935
1997-10-24,5.864035813
1997-10-27,5.712091994
1997-10-28,5.498236737
1997-10-29,5.728973411
1997-10-30,5.627673844
1997-10-31,5.678323627
1997-11-03,5.773992368
1997-11-04,5.779623195
1997-11-05,5.773992368
1997-11-06,5.740229533
1997-11-07,5.593911009
1997-11-10,5.571398765
1997-11-11,5.57702406
1997-11-12,5.45321778
1997-11-13,5.45321778
1997-11-14,5.430705536
1997-11-17,5.622048548
1997-11-18,5.655811383
1997-11-19,5.548886521
1997-11-20,5.616417722
1997-11-21,5.717717289
1997-11-24,5.655811383
1997-11-25,5.537630399
1997-11-26,5.560142643
1997-11-28,5.610792426
1997-12-01,5.678323627
1997-12-02,5.717717289
1997-12-03,5.700835872
1997-12-04,5.717717289
1997-12-05,5.717717289
1997-12-08,5.728973411
1997-12-09,5.734598707
1997-12-10,5.700835872
1997-12-11,5.565773469
1997-12-12,5.548886521
1997-12-15,5.548886521
1997-12-16,5.582654887
1997-12-17,5.706461167
1997-12-18,5.683954454
1997-12-19,5.543261225
1997-12-22,5.481355319
1997-12-23,5.520748981
1997-12-24,5.520748981
1997-12-26,5.526379808
1997-12-29,5.616362409
1997-12-30,5.667996758
1997-12-31,5.662260837
1998-01-02,5.662260837
1998-01-05,5.656519385
1998-01-06,5.599154647
1998-01-07,5.576205433
1998-01-08,5.524576616
1998-01-09,5.432785291
1998-01-12,5.272151856
1998-01-13,5.369679101
1998-01-14,5.449993053
1998-01-15,5.444257132
1998-01-16,5.593418726
1998-01-20,5.667996758
1998-01-21,5.69094044
1998-01-22,5.69094044
1998-01-23,5.725361496
1998-01-26,5.776995844
1998-01-27,5.822888741
